# Inform Sue when adding setupset or runtime directives; update Etomo column when support added; almost everything is Tmplt,,,,,,,Label REQUIRED unless bug fixed,
Batch/Template Directives,,,,,,,,
Directives for Batch Processing and Template Files,,,,,,,,
Directive,Definition,Type,Batch,Tmplt,Etomo,Notes,Label,Choices
,,,,,,,,
Arguments to Copytomocoms,,,,,,,,
setupset.copyarg.name,Root name of data set,String,Y,,,,,
setupset.copyarg.stackext,Extension of input stack(s) omitting dot,String,Y,,,Must be final extension; required in the -directive entry to Etomo,Extension on input stack,
setupset.copyarg.dual,Dual-axis data set,Bool,Y,Y,SO,,Dual axis,
setupset.copyarg.montage,Data are montaged,Bool,Y,Y,SD,,Montaged,
setupset.copyarg.pixel,Pixel size of images in nanometers,Float,Y,Y,,Overrides value from scanHeader,Pixel size (nm),
setupset.copyarg.gold,Size of gold beads in nanometers,Float,Y,Y,SD,,Fiducial size (nm),
setupset.copyarg.rotation,Angle from the vertical to the tilt axis in raw images,Float,Y,Y,,Overrides value from scanHeader; applies to B axis unless brotation used,Tilt axis rotation angle,
setupset.copyarg.brotation,Angle from the vertical to the tilt axis for B axis,Float,Y,Y,,Overrides value from scanHeader,Tilt axis rotation angle for B axis,
setupset.copyarg.firstinc,First tilt angle and tilt angle increment for A or only axis,2 Float,Y,,,May not be entered with userawtlt or extract,First tilt angle & increment (A/only axis),
setupset.copyarg.bfirstinc,First tilt angle and tilt angle increment for B axis,2 Float,Y,,,May not be entered with buserawtlt or bextract,First tilt angle & increment for B axis,
setupset.copyarg.userawtlt,Take tilt angle from a .rawtlt file for A or only axis,Bool,Y,Y,SO,May not be entered with firstinc or extract,Use existing .rawtlt file for A/only axis,
setupset.copyarg.buserawtlt,Take tilt angle from a .rawtlt file for B axis,Bool,Y,Y,SO,May not be entered with fbirstinc or bextract,Use existing .rawtlt file for B axis,
setupset.copyarg.extract,Extract tilt angles from data file for A or only axis,Bool,Y,Y,SO,May not be entered with firstinc or userawtlt,Extract tilt angles from data file (A/only),
setupset.copyarg.bextract,Extract tilt angles from data file for B axis,Bool,Y,Y,SO,May not be entered with fbirstinc or buserawtlt,Extract tilt angles from B axis data file,
setupset.copyarg.twodir,Starting angle of bi-directional series for A or only axis,Float,Y,Y,SO,,Starting angle of bi-directional series,
setupset.copyarg.btwodir,Starting angle of bi-directional series for B axis,Float,Y,Y,SO,,Start angle of bi-directional series for B,
setupset.copyarg.reversed,First part of bidirectional tilt series is in second part of file for A or only axis,Bool,Y,Y,,,Bidirectional tilt series is reversed,
setupset.copyarg.breversed,First part of bidirectional tilt series is in second part of file for B axis,Bool,Y,Y,,,Bidirectional tilt series is reversed for B,
setupset.copyarg.skip,List of views to exclude from processing for A or only axis,List,Y,,,,Views to exclude for A/only axis,
setupset.copyarg.bskip,List of views to exclude from processing for B axis,List,Y,,,,Views to exclude for B axis,
setupset.copyarg.distort,Correct image distortion with the given .idf file,File,Y,Y,SO,,Image distortion field file,
setupset.copyarg.binning,Binning of raw images,Float,Y,Y,,,Binning of raw images,
setupset.copyarg.gradient,Correct for magnification gradients using the given .mgt file,File,Y,Y,SO,,Magnification gradient file,
setupset.copyarg.focus,Focus was adjusted between montage frames for A or only axis,Bool,Y,Y,SO,,Focus was adjusted between frames (A),
setupset.copyarg.bfocus,Focus was adjusted between montage frames for the B axis,Bool,Y,Y,SO,,Focus adjusted between frames for B,
setupset.copyarg.defocus,Defocus in nanometers (underfocus positive),Float,Y,Y,SO,,Defocus (nm),
setupset.copyarg.voltage,Microscope voltage in kV,Int,Y,Y,SO,,Microscope voltage (kV),
setupset.copyarg.Cs,Spherical aberration in mm,Float,Y,Y,SO,,Spherical aberration (mm),
setupset.copyarg.ctfnoise,Configuration file listing noise files for ctfplotter,File,Y,Y,SD,,Noise configuration file,
,,,,,,,,
Other Setup Parameters,,,,,,,,
setupset.scopeTemplate,Name of scope template file to use,String,Y,,,See notes at end,Scope template file,
setupset.systemTemplate,Name of system template file,String,Y,,,See notes at end,System template file,
